month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77066,"houston, tx",223005.5,44,55.5,36,4,16,54,92.71037182,2365,235164,98,1.2273
202006,77590,"texas city, tx",204300,49,35.5,28,0,16,49,114.5217151,1861,225933,98,1
202006,77014,"houston, tx",220050,29,48,24,0,4,26,96.83023893,2170,213725,55,0.8966
202006,77541,"freeport, tx",239950,131,102,24,0,28,66,184.6907332,1418,274234,197,0.5038
202006,77345,"kingwood, tx",299500,127,56,64,0,52,104,107.8068581,2981.5,350638,231,0.8189
202006,77901,"victoria, tx",169050,68,67.5,28,0,24,46,105.2631579,1670,192461,114,0.6765
202006,77418,"bellville, tx",323675,39,130.5,4,0,8,12,145.3698971,2217,364664,51,0.3077
202006,77591,"texas city, tx",230050,73,40.5,16,8,12,37,120.6620395,1900,218380,110,0.5068
202006,77029,"houston, tx",156049,30,50,8,0,4,10,114.2191142,1300,154530,40,0.3333
202006,77479,"sugar land, tx",449775,410,51.5,168,0,128,199,135.1463433,3437,587841,609,0.4854
202006,77445,"hempstead, tx",305050,59,84.5,8,0,12,25,129.666376,2285,338091,84,0.4237
202006,77506,"pasadena, tx",159000,14,54.5,4,0,4,16,127.0382329,1370,175375,30,1.1429
202006,77450,"katy, tx",335950,178,42.5,112,4,68,162,117.6236497,3003.5,415607,340,0.9101
202006,77484,"waller, tx",446542.5,42,65.5,12,0,16,18,163.6740331,2406,493529,60,0.4286
202005,77032,"houston, tx",99050,14,58,4,0,0,2,60.74168798,1564,112048,16,0.1429
202005,77302,"conroe, tx",320050,95,84,32,8,20,50,116.9215134,2783,344457,145,0.5263
202005,77396,"humble, tx",249950,148,58,64,8,28,100,110.4477612,2465,317523,248,0.6757
202005,77514,"anahuac, tx",242040,61,91,12,0,4,19,131.0551225,1796,270638,80,0.3115
202005,77520,"baytown, tx",164950,63,65,20,0,16,34,98.45105328,1665,224647,97,0.5397
202005,77539,"dickinson, tx",248850,175,60,72,8,48,133,124.6458924,1981,297827,308,0.76
202005,77521,"baytown, tx",236040,192,54,88,12,44,138,113.6363636,2047,253920,330,0.7188
202005,77541,"freeport, tx",245050,159,92,32,0,28,47,196.875,1312,273057,206,0.2956
202005,77047,"houston, tx",189550,40,38,20,0,12,45,107.6388889,1652,198670,85,1.125
202005,77954,"cuero, tx",142050,27,119,4,0,8,7,94.88135593,1701,195098,34,0.2593
