Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75087,"$75,000 under $100,000",1840,5224,8421,3979,110277,14228
75087,"$100,000 under $200,000",3360,13360,22234,11853,348386,59105
75087,"$200,000 or more",810,5077,6737,9511,278954,67357
,,,,,,,
75088,,11750,16038,24402,17281,557222,97286
75088,"$1 under $25,000",3800,660,1018,330,10059,877
75088,"$25,000 under $50,000",2450,1609,2685,1175,46500,4706
75088,"$50,000 under $75,000",1770,2558,4288,2191,69681,8571
75088,"$75,000 under $100,000",1360,2667,4435,2620,82756,11044
75088,"$100,000 under $200,000",1970,6072,9035,7017,203271,35074
75088,"$200,000 or more",400,2472,2941,3948,144955,37014
,,,,,,,
75089,,13500,21364,38694,19710,583564,92036
75089,"$1 under $25,000",4240,910,1813,409,10517,915
75089,"$25,000 under $50,000",2590,2590,4651,1499,46938,4590
75089,"$50,000 under $75,000",2070,3791,7342,2763,79631,9603
75089,"$75,000 under $100,000",1700,3907,7137,3279,101750,13189
75089,"$100,000 under $200,000",2570,8532,15073,8920,261396,43960
75089,"$200,000 or more",330,1634,2678,2840,83332,19779
,,,,,,,
75090,,9250,3040,5404,4422,196689,30616
75090,"$1 under $25,000",4730,280,318,298,10351,915
75090,"$25,000 under $50,000",2540,461,894,678,39106,3627
75090,"$50,000 under $75,000",980,420,965,588,37383,4316
75090,"$75,000 under $100,000",490,496,945,704,30013,3977
75090,"$100,000 under $200,000",430,892,1622,1335,43160,7255
75090,"$200,000 or more",80,491,660,819,36676,10526
,,,,,,,
75092,,10150,7797,11280,12912,381657,65690
75092,"$1 under $25,000",4030,416,578,372,10961,983
75092,"$25,000 under $50,000",2630,982,1687,1095,49031,5108
75092,"$50,000 under $75,000",1420,1096,1805,1540,56321,6889
75092,"$75,000 under $100,000",840,1093,1743,1668,51791,6937
75092,"$100,000 under $200,000",940,2260,3275,3749,97381,16589
75092,"$200,000 or more",290,1950,2192,4488,116172,29184
,,,,,,,
75093,,23390,90103,96805,90070,3372604,804632
75093,"$1 under $25,000",6000,2061,2247,613,16012,1417
75093,"$25,000 under $50,000",3960,3506,4115,1834,84198,9312
75093,"$50,000 under $75,000",2810,4706,6031,2788,117719,16222
